Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
50,Male,66.4,1.82,194,114,58,0.68,174.7,Yoga,26.8,2.15,2,2,20.05
53,Female,76.9,1.61,185,152,71,1.01,752.5,HIIT,34.7,2.01,2,2,29.67
37,Female,71.8,1.62,170,122,56,0.52,293.7,Strength,32.8,2.18,2,1,27.36
36,Female,79.4,1.66,185,135,70,1.16,626.1,Cardio,29.5,2.51,4,3,28.81
52,Male,73.2,1.72,171,140,68,1.21,622.2,Cardio,19.1,2.19,4,2,24.74
34,Male,62.7,1.77,193,158,62,0.54,184.5,Strength,14.6,2.11,3,1,20.01
51,Male,87.9,1.8,184,132,68,0.96,729.7,HIIT,19.0,2.45,3,2,27.13
26,Female,63.6,1.72,176,111,56,1.06,525.0,Cardio,22.0,2.37,5,2,21.5
43,Female,54.3,1.49,197,157,70,0.82,214.0,Strength,28.8,1.74,3,2,24.46
19,Female,60.4,1.61,170,119,58,1.22,461.2,Strength,22.2,2.2,4,2,23.3
26,Male,87.3,1.75,174,142,55,1.14,579.4,Strength,25.7,2.33,2,2,28.51
26,Female,58.2,1.47,179,151,74,1.65,910.8,HIIT,30.7,2.57,4,3,26.93
57,Female,62.9,1.63,191,122,68,0.91,481.2,HIIT,31.6,1.82,1,1,23.67
34,Male,43.6,1.64,190,156,62,0.56,120.7,Strength,23.5,1.75,1,1,16.21
18,Male,59.1,1.66,173,118,57,0.86,188.4,Yoga,24.6,2.12,4,1,21.45
42,Male,84.0,1.77,183,137,59,1.2,763.1,Cardio,9.0,1.77,2,2,26.81
57,Male,76.1,1.74,182,110,60,1.21,659.4,Cardio,24.4,2.23,3,2,25.14
59,Male,49.0,1.65,170,139,62,1.09,383.3,Cardio,12.5,2.36,5,3,18.0
42,Male,54.3,1.8,185,138,60,0.82,307.0,Cardio,19.1,2.08,6,2,16.76
56,Male,84.8,1.85,192,143,60,0.77,468.9,Cardio,27.5,1.7,4,2,24.78
52,Female,59.2,1.73,178,144,58,1.57,638.5,Cardio,20.5,2.24,5,3,19.78
20,Male,53.6,1.63,191,136,61,0.87,374.4,HIIT,28.0,2.47,3,1,20.17
54,Male,77.1,1.7,185,134,73,1.09,652.5,Cardio,13.6,1.87,6,3,26.68
47,Male,94.4,1.81,188,150,61,0.78,654.5,HIIT,15.1,2.32,3,1,28.81
55,Male,67.3,1.79,184,141,57,0.98,526.6,Cardio,16.6,1.9,3,2,21.0
51,Female,64.9,1.65,195,159,62,0.81,181.5,Yoga,21.3,2.33,5,2,23.84
29,Male,82.0,1.86,183,148,55,1.01,757.9,HIIT,21.3,2.27,3,2,23.7
36,Male,79.0,1.84,189,127,55,0.79,426.3,Cardio,27.7,1.87,1,1,23.33
54,Female,68.2,1.68,179,130,68,1.14,651.3,HIIT,26.0,1.65,1,1,24.16
34,Male,78.1,1.7,190,124,60,0.87,360.3,Strength,16.2,2.14,3,2,27.02
27,Female,60.1,1.68,181,138,64,0.91,553.5,HIIT,26.6,2.1,5,3,21.29
29,Male,52.3,1.71,197,136,68,0.54,192.9,Strength,13.0,1.95,3,1,17.89
33,Male,101.9,1.82,170,134,58,1.07,585.5,Strength,24.4,2.3,5,3,30.76
41,Female,73.5,1.61,190,118,60,0.66,418.8,HIIT,34.5,1.5,3,1,28.36
36,Female,49.5,1.59,186,121,70,0.79,180.7,Strength,26.6,2.09,5,2,19.58
25,Female,64.4,1.62,178,113,55,1.16,482.4,Cardio,32.2,2.42,4,2,24.54
48,Male,98.1,1.87,192,117,60,0.78,692.7,HIIT,24.2,2.19,2,2,28.05
38,Male,76.2,1.68,188,140,63,1.25,599.7,Strength,16.1,1.87,3,3,27.0
34,Female,65.3,1.59,194,125,69,1.4,578.8,Strength,32.7,2.69,5,2,25.83
40,Male,59.7,1.6,187,121,66,1.11,507.1,Cardio,22.9,2.29,1,2,23.32
